body,sentimento
"Sequoia reestrutura dívida bancáriaA Sequoia reduzirá sua dívida em R$ 653 milhões, passando para uma dívida bruta, ao final desse processo, de R$ 160 milhões",2
"Para Visa, o Brasil tem o 2º maior índice de fraudes no mundoEstudo da companhia analisa dados em 200 países onde está presente, com 2,7 bi de transações em 2023, no valor de US$ 381 bi",2
"Transferências de renda têm aumento forte e ajudam a impulsionar consumo das famíliasEm 2023, o Bolsa Família totaliza R$ 168 bilhões, 317% a mais que na média dos quatro anos anteriores à pandemia",2
"CMN deve regulamentar teto do rotativoConselho não deve aceitar proposta de bancos, com detalhamento sobre o limite de juros, nem outras sugestões, optando por apenas regulamentar a nova lei",2
"Reformas ajudam nota do Brasil, mas dever de casa é grandePara a S&P, a forte posição externa do país e a credibilidade da política monetária atenuaram o fraco desempenho fiscal",2
"BB renegociou R$ 183 milhões na Faixa 1 do DesenrolaPresidente Lula (PT) elogiou o Desenrola, mas questionou sobre devedores que não apareceram e descontos até 90%",2
"Sem reformas, dívida pública poderia atingir 100% do PIB em 2037, diz OCDEO cenário base, que projeta que a dívida alcançará 90% em 2047, pressupõe que o novo arcabouço fiscal e a reforma tributária sobre o consumo “aumentarão o crescimento potencial da economia em aproximadamente 0,5 ponto percentual”",2
"Raquel Virgínia e o desafio de deixar de ser uma exceçãoA Nhaí, startup que cria projetos de marketing, é procurada por grandes empresas para projetos que aproximem suas marcas da comunidade trans",2
"País paga este ano dívida com organismos internacionaisBrasil acumulou cerca de R$ 5 bilhões, entre atrasados e compromissos deste ano, com aproximadamente 120 instituições",2
"WPP faz megafusão de agências e põe Karina Ribeiro no comando da VML no Brasil Fruto da fusão global iniciada em outubro entre as agências VMLY&R e Wunderman Thompson, a VML nasce com faturamento global de US$ 4,1 bilhões, tendo o Brasil como seu 4º maior mercado",2
‘Rouba monte’ concentra as atenções do mercadoDefesa das carteiras é foco principal das estratégias de gestoras e seguradoras ,2
"Com carteira de crédito de R$ 200 bilhões, Sicredi é a 7ª instituição financeira do BrasilCom essa carteira consolidada, o grupo é a sétima maior instituição financeira do Brasil nesse critério, ficando atrás apenas de Caixa, BB, Itaú, Bradesco, Santander e BNDES ",2
"Em um mês, Banco do Brasil repactua mais de R$ 1,3 bi em dívidas do FiesNovas regras de renegociação preveem que os débitos em atraso têm até 100% do desconto em juros e multas e, no caso de liquidação integral do contrato, o desconto chega a 99% do valor consolidado na dívida",2
"Governo prevê conclusão até 2027 das 5 grandes rotas de integração do Brasil com ALSão, ao todo, 124 obras listadas até o momento, mas dez prioritárias para que as rotas sejam construídas ou concluídas,  diz a ministra Simone Tebet",2
"Representantes do G20 defendem reforma ‘urgente’ da governança global O encontro para discussão das políticas que guiarão o G20 durante o mandato brasileiro aconteceu nesta segunda-feira (11), no Palácio do Itamaraty",2
"Déficit zero em 2024 é uma “construção que será feita mês a mês”, diz HaddadMinistro da Fazenda destacou que ""se precisar tomar novas medidas"", o governo vai tomar ""tanto do ponto de vista da receita quanto da despesa”",2
"A mexicana que trocou sonho de ser chef pelo mundo dos carros e hoje lidera a BMW no BrasilExecutiva mexicana Maru Escobedo tinha o sonho de ser cozinheira, entrou na BMW para cobrir a licença de uma amiga e hoje comanda as operações do grupo no Brasil",2
"'Não vamos voltar ao velho mundo de 1992', diz liderança da Alemanha, sobre financiamento do climaNos últimos anos, ao ficar claro que a crise do clima é um desafio de trilhões de dólares, há pressão para abrir o leque de doadores, com mais países, setor privado e filantropia",2
"De olho em votações no Congresso, Haddad desiste de participar da cúpula do MercosulDecisão faz parte da ofensiva para tentar destravar votações importantes dos parlamentares, como no caso da medida provisória das subvenções a investimentos, essencial para a perseguição da meta zero no Orçamento de 2024",2
"IA pode ser usada para combater e para fazer lavagem de dinheiro, diz Campos NetoEm seminário sobre combate a crimes financeiros, Campos afirmou que, apesar de avanços dos últimos anos , Brasil ainda tem “muito trabalho pela frente”",2
